0.533, 11, 56.33333, 196.3333, 2.249
0.533, 10, 149.125, 166, 2.33125
0.533, 1, 242, 145, 2.256778
0.533, 12, 99, 113, 2.378111
0.533, 7, 192.5, 97, 2.352333
0.533, 5, 13.6, 81.2, 2.2948
0.533, 2, 284.6667, 67, 2.321111
0.900, 11, 55.75, 200.5, 2.30775
0.900, 10, 149, 168, 2.299778
0.900, 1, 241.8889, 146, 2.25
0.900, 12, 99.11111, 115, 2.363111
0.900, 7, 192.6667, 98.16666, 2.352333
0.900, 5, 13.11111, 84, 2.298333
0.900, 2, 284, 68, 2.313444
0.933, 11, 56.6, 200, 2.274
0.933, 10, 149, 168, 2.295556
0.933, 1, 241.8889, 146, 2.257444
0.933, 12, 98, 116, 2.341222
0.933, 7, 193, 98, 2.315111
0.933, 5, 13, 84, 2.385333
0.933, 2, 283.5, 68, 2.326
0.966, 11, 57, 200, 2.262222
0.966, 10, 150, 168, 2.297111
0.966, 1, 241.8889, 146, 2.256667
0.966, 12, 98, 116, 2.339444
0.966, 7, 193, 98, 2.332444
0.966, 5, 15, 83.71429, 2.263
0.966, 2, 283, 68, 2.355444
1.131, 11, 54, 199, 2.281
1.131, 10, 149.3333, 165.3333, 2.2915
1.131, 1, 240, 144, 2.303889
1.131, 12, 97, 114, 2.348334
1.131, 7, 190.3333, 96, 2.358111
1.131, 5, 10.5, 82.5, 2.3005
1.131, 2, 281, 66, 2.403111
1.399, 11, 56.33333, 200.5, 2.286166
1.399, 10, 149, 168, 2.310889
1.399, 1, 241.875, 146.125, 2.27275
1.399, 12, 98.42857, 115.8571, 2.294428
1.399, 7, 191.2857, 99.14286, 2.360143
1.399, 5, 13, 84, 2.366111
1.399, 2, 282, 68, 2.342111
1.633, 11, 55.5, 203, 2.2115
1.633, 10, 149, 169, 2.335889
1.633, 1, 241, 148, 2.260444
1.633, 12, 99, 117, 2.247889
1.633, 7, 191, 100, 2.387111
1.633, 5, 13, 85, 2.407333
1.633, 2, 282.5, 70, 2.3165
1.865, 7, 191, 99, 2.315
1.865, 11, 54, 202, 2.244
1.865, 10, 147, 168, 2.296444
1.865, 1, 239, 146, 2.311
1.865, 12, 97, 116, 2.357222
1.865, 5, 11, 84.875, 2.30875
1.865, 2, 281, 69, 2.294555
2.098, 11, 51.88889, 196.1111, 2.230444
2.098, 10, 145, 163, 2.361667
2.098, 1, 237.375, 141, 2.266125
2.098, 12, 94.71429, 111.8571, 2.262
2.098, 7, 187, 94, 2.376
2.098, 2, 278, 63, 2.285875
2.299, 11, 52, 196, 2.321
2.299, 10, 145, 164, 2.336778
2.299, 1, 237.5714, 141, 2.258857
2.299, 12, 94.77778, 112, 2.288889
2.299, 7, 187, 94, 2.417778
2.299, 2, 278.875, 63.125, 2.25525
2.499, 11, 51, 197.3333, 2.308444
2.499, 10, 145, 164, 2.377778
2.499, 1, 236.8333, 142, 2.2775
2.499, 12, 94, 112, 2.304
2.499, 7, 187.5556, 95, 2.343889
2.499, 2, 278, 65, 2.369
2.731, 11, 51, 198.6667, 2.315111
2.731, 10, 146, 165, 2.321333
2.731, 1, 238, 143, 2.326556
2.731, 12, 95.875, 113.125, 2.262625
2.731, 7, 188.125, 95.875, 2.352
2.731, 5, 9, 82, 2.368
2.731, 2, 278, 66, 2.324445
2.964, 11, 50.25, 199, 2.367
2.964, 10, 145, 165, 2.355444
2.964, 1, 238, 143, 2.246333
2.964, 12, 94.125, 112.875, 2.30775
2.964, 7, 188, 96, 2.314222
2.964, 2, 276.875, 64.875, 2.30875
3.162, 11, 53, 196, 2.230444
3.162, 10, 145, 164, 2.332333
3.162, 1, 237.7778, 142, 2.267
3.162, 12, 94.22222, 112, 2.302444
3.162, 7, 188.3333, 94, 2.354556
3.162, 2, 278, 64, 2.330555
3.399, 7, 188.875, 94.875, 2.3205
3.399, 11, 54.5, 198, 2.196833
3.399, 10, 147, 165, 2.317
3.399, 1, 237.875, 141.875, 2.29625
3.399, 12, 95.44444, 114, 2.297111
3.399, 5, 8.875, 82.875, 2.27675
3.399, 2, 278, 64, 2.311556
3.666, 11, 51.375, 195.125, 2.28025
3.666, 10, 145, 162, 2.333222
3.666, 1, 236, 139, 2.293
3.666, 12, 93, 110, 2.343889
3.666, 7, 186.7143, 92.14286, 2.335
3.666, 2, 277, 61.5, 2.283833
3.865, 11, 52, 201, 2.335
3.865, 10, 146, 166, 2.331444
3.865, 1, 236.1111, 142, 2.291222
3.865, 12, 93.625, 115.125, 2.285125
3.865, 7, 186.125, 94.875, 2.356
3.865, 2, 276, 63, 2.330778
4.064, 11, 58.8, 210.4, 2.2124
4.064, 10, 149, 170, 2.297111
4.064, 1, 239, 141, 2.297
4.064, 12, 94, 123, 2.345667
4.064, 7, 186, 99, 2.329667
4.064, 2, 273, 61, 2.371444
4.265, 11, 68, 214.5, 2.308
4.265, 10, 154, 170, 2.302222
4.265, 1, 242, 137, 2.339667
4.265, 12, 98.11111, 124, 2.353778
4.265, 5, 11, 103, 2.417889
4.265, 7, 187.7143, 94.71429, 2.346429
4.265, 2, 274, 54, 2.295444
4.497, 5, 11, 106.5, 2.359
4.497, 10, 154, 169, 2.345667
4.497, 1, 241, 136, 2.301445
4.497, 12, 97, 125, 2.386222
4.497, 7, 186.1111, 96, 2.351889
4.497, 2, 271.875, 53.875, 2.2915
4.699, 11, 60, 206.6667, 2.369333
4.699, 10, 148, 167, 2.330667
4.699, 1, 236, 138, 2.329
4.699, 12, 94, 121, 2.437556
4.699, 5, 9, 98.125, 2.354125
4.699, 7, 183, 96, 2.390666
4.699, 2, 270, 58, 2.298111
4.897, 11, 54, 202, 2.392
4.897, 10, 143, 164, 2.411333
4.897, 1, 231, 137, 2.358111
4.897, 12, 90, 117, 2.396333
4.897, 7, 180, 94, 2.403556
4.897, 2, 268, 58, 2.356333
5.097, 11, 50, 193, 2.319
5.097, 10, 137, 160, 2.351
5.097, 1, 224, 135, 2.363667
5.097, 12, 85, 112, 2.375111
5.097, 7, 175, 91, 2.392667
5.097, 2, 262, 58, 2.422444
5.299, 11, 49, 197.5, 2.363
5.299, 10, 136, 162, 2.420556
5.299, 1, 223, 138, 2.435666
5.299, 12, 86, 114, 2.336
5.299, 7, 174, 94, 2.385222
5.299, 2, 261, 62, 2.412
5.498, 11, 47, 190, 2.324111
5.498, 10, 135, 157.875, 2.415875
