0.164, 11, 53, 196, 2.296428
0.164, 10, 148, 165, 2.307444
0.164, 1, 241.875, 144.125, 2.28225
0.164, 12, 97.22222, 112, 2.316889
0.164, 7, 191, 96, 2.411444
0.164, 5, 12, 80.5, 2.317
0.164, 2, 283, 67, 2.304
0.199, 11, 55.5, 195, 2.2405
0.199, 10, 148.8571, 165.2857, 2.284429
0.199, 1, 241.5, 145, 2.289
0.199, 12, 98.5, 112, 2.310333
0.199, 7, 192, 96, 2.377
0.199, 5, 12.875, 80, 2.320375
0.199, 2, 283, 67, 2.352778
0.333, 11, 57, 196.5, 2.281
0.333, 10, 149.7143, 166.1429, 2.321857
0.333, 1, 243.125, 145, 2.248875
0.333, 12, 99, 113, 2.335
0.333, 7, 193, 97, 2.327889
0.333, 5, 14, 81, 2.310778
0.333, 2, 284.5, 68, 2.341
0.500, 11, 54, 199, 2.237
0.500, 10, 148.125, 167, 2.26325
0.500, 1, 240.375, 146.125, 2.316
0.500, 12, 98, 114, 2.326222
0.500, 7, 192, 98, 2.318444
0.500, 5, 12, 82, 2.306556
0.500, 2, 283.7143, 68, 2.317
0.932, 11, 55, 198, 2.186333
0.932, 10, 149, 166, 2.301667
0.932, 1, 241, 144, 2.323778
0.932, 12, 98.11111, 114, 2.334222
0.932, 7, 191.1111, 97, 2.365222
0.932, 5, 12, 82, 2.304111
0.932, 2, 282.875, 66.875, 2.30125
0.967, 11, 55.75, 200.5, 2.30775
0.967, 10, 149, 168, 2.299778
0.967, 1, 241.8889, 146, 2.25
0.967, 12, 99.11111, 115, 2.363111
0.967, 7, 192.6667, 98.16666, 2.352333
0.967, 5, 13.11111, 84, 2.298333
0.967, 2, 284, 68, 2.313444
1.199, 11, 54, 199, 2.281
1.199, 10, 149.3333, 165.3333, 2.2915
1.199, 1, 240, 144, 2.303889
1.199, 12, 97, 114, 2.348334
1.199, 7, 190.3333, 96, 2.358111
1.199, 5, 10.5, 82.5, 2.3005
1.199, 2, 281, 66, 2.403111
1.466, 11, 56.33333, 200.5, 2.286166
1.466, 10, 149, 168, 2.310889
1.466, 1, 241.875, 146.125, 2.27275
1.466, 12, 98.42857, 115.8571, 2.294428
1.466, 7, 191.2857, 99.14286, 2.360143
1.466, 5, 13, 84, 2.366111
1.466, 2, 282, 68, 2.342111
1.701, 11, 55.5, 203, 2.2115
1.701, 10, 149, 169, 2.335889
1.701, 1, 241, 148, 2.260444
1.701, 12, 99, 117, 2.247889
1.701, 7, 191, 100, 2.387111
1.701, 5, 13, 85, 2.407333
1.701, 2, 282.5, 70, 2.3165
1.932, 7, 191, 99, 2.315
1.932, 11, 54, 202, 2.244
