0.033, 20, 224.5556, 36, 2.623555
0.033, 3, 65.66666, 15, 2.482111
0.066, 20, 225, 36, 2.568444
0.066, 3, 66, 15, 2.371444
0.100, 20, 224.8889, 36, 2.602667
0.100, 3, 66, 15, 2.387111
0.166, 20, 224.3333, 36, 2.630222
0.166, 3, 66, 15, 2.454
0.266, 20, 225, 36, 2.568333
0.266, 3, 66, 15, 2.449111
0.399, 20, 224.5556, 36, 2.623555
0.399, 3, 66, 15, 2.470333
0.499, 20, 224.5714, 35.85714, 2.639429
0.499, 3, 66, 15, 2.457778
0.599, 20, 224, 36, 2.677889
0.599, 3, 66, 15, 2.438555
0.732, 20, 224.8889, 36, 2.607111
0.732, 3, 66, 15, 2.416889
0.832, 20, 224, 36, 2.652445
0.832, 3, 66, 15, 2.444333
0.899, 20, 224.8889, 36, 2.615778
0.899, 3, 66, 15, 2.456667
0.999, 20, 224.375, 35.875, 2.665125
0.999, 3, 66, 15, 2.425333
1.066, 20, 224.875, 35.875, 2.618
1.066, 3, 66, 15, 2.424333
1.133, 20, 224, 36, 2.656111
1.133, 3, 66, 15, 2.440556
1.199, 20, 225, 36, 2.618
1.199, 3, 66, 15, 2.446222
1.299, 20, 224.5, 36, 2.634375
1.299, 3, 66, 15, 2.390778
1.365, 20, 224.8889, 36, 2.597333
1.365, 3, 66, 15, 2.427222
1.466, 20, 225, 36, 2.603778
1.466, 3, 66, 15, 2.432778
1.532, 20, 224.7143, 36, 2.618
1.532, 3, 66, 15, 2.456778
1.632, 20, 225, 36, 2.588556
1.632, 3, 66, 15, 2.417778
1.699, 20, 224.75, 36.125, 2.6155
1.699, 3, 66, 15, 2.427445
1.832, 20, 224.2222, 36, 2.635778
1.832, 3, 66, 15, 2.420556
1.966, 20, 224, 36, 2.644667
1.966, 3, 66, 15, 2.442444
2.032, 20, 225, 36, 2.586667
2.032, 3, 66, 15, 2.439445
2.099, 20, 225, 36, 2.584556
2.099, 3, 66, 15, 2.426111
2.199, 20, 225, 36, 2.587667
2.199, 3, 66, 15, 2.439333
2.266, 20, 225, 36.125, 2.6045
2.266, 3, 66, 15, 2.416667
2.366, 20, 224, 36, 2.659444
