0.066, 20, 160, 53, 3.173667
0.066, 3, 23, 30, 2.673445
0.066, 24, 205, 9, 3.418222
0.133, 20, 160, 53, 3.228333
0.133, 3, 23, 30, 2.685889
0.133, 24, 204.875, 9.125, 3.452625
0.166, 20, 160, 53, 3.248333
0.166, 24, 205, 9, 3.416333
0.233, 24, 204.2857, 8.857142, 3.374285
0.233, 20, 160, 53, 3.251889
0.299, 20, 160, 53, 3.256889
0.299, 24, 205, 9, 3.330222
0.399, 20, 160, 53, 3.216666
0.399, 3, 23, 30, 2.761333
0.399, 24, 205, 9, 3.392333
0.499, 20, 160, 53, 3.177
0.499, 3, 22.25, 29.75, 2.72925
0.499, 24, 204.3333, 9, 3.584889
0.666, 20, 160, 53, 3.213333
0.666, 3, 23, 30, 2.728333
0.666, 24, 205, 9, 3.450889
0.799, 20, 160, 53, 3.238333
0.799, 24, 205, 9, 3.288111
0.899, 20, 160, 53, 3.282778
0.899, 3, 23, 30, 2.703889
0.899, 24, 204.875, 9.125, 3.48575
0.966, 20, 160, 53, 3.233333
0.966, 3, 23, 30, 2.679222
0.966, 24, 204.5, 9, 3.5675
1.099, 20, 160, 53, 3.231667
1.099, 3, 23, 30, 2.665222
1.099, 24, 204.2857, 9.142858, 3.619571
1.199, 20, 160, 53, 3.265445
1.199, 24, 205, 9, 3.420111
1.299, 20, 160, 53, 3.261889
1.299, 3, 23, 30, 2.700111
1.299, 24, 204.5, 9, 3.600833
1.399, 20, 160, 53, 3.23
1.399, 3, 22.8, 30.6, 2.7782
1.399, 24, 205, 9, 3.348222
1.499, 20, 160, 53, 3.22
1.499, 24, 205, 9, 3.307333
1.599, 20, 160, 53, 3.178333
1.599, 3, 23.14286, 30.28572, 2.787
1.599, 24, 205, 9, 3.318
1.699, 20, 160, 53, 3.226667
1.699, 3, 22.4, 30.2, 2.6774
1.699, 24, 205, 9, 3.270667
1.866, 20, 160, 53, 3.272333
1.866, 24, 205, 9, 3.350333
1.966, 20, 160, 53, 3.159111
1.966, 3, 23, 30, 2.761445
1.966, 24, 205.125, 9.125, 3.325
2.066, 20, 160, 53, 3.248444
2.066, 24, 205, 9, 3.381
2.132, 20, 160, 53, 3.231667
2.132, 24, 205, 9, 3.414778
2.233, 20, 160, 53, 3.186778
2.233, 3, 23, 30, 2.734667
2.233, 24, 205, 9, 3.412778
2.332, 20, 160, 53, 3.192
2.332, 3, 24, 29, 2.714889
2.332, 24, 205.25, 9.75, 3.38825
2.466, 24, 204, 9, 3.332667
2.466, 20, 160, 53, 3.213333
2.466, 3, 23, 30, 2.681333
2.599, 20, 160, 53, 3.303444
2.599, 24, 205, 9, 3.277556
2.699, 20, 160, 53, 3.225
2.699, 3, 23, 30, 2.618
2.699, 24, 205, 9, 3.463666
2.832, 20, 160, 53, 3.170333
2.832, 3, 23, 30, 2.763889
2.832, 24, 205, 9, 3.407111
2.966, 20, 160, 53, 3.205111
2.966, 3, 23, 30, 2.678
2.966, 24, 205, 9, 3.325111
3.099, 20, 160, 53, 3.243444
3.099, 3, 23, 30, 2.835444
3.099, 24, 204.8571, 9, 3.511143
3.199, 20, 160, 53, 3.215
3.199, 3, 23, 30, 2.735778
