0.199, 11, 55.5, 195, 2.2405
0.199, 10, 147.875, 165.125, 2.30625
0.199, 1, 241.375, 143.875, 2.2975
0.199, 12, 98, 112, 2.310778
0.199, 7, 191, 96, 2.367111
0.199, 5, 12, 80, 2.317778
0.199, 2, 283, 67, 2.352778
0.232, 10, 150.1667, 166.1667, 2.266333
0.232, 1, 242, 146, 2.254778
0.232, 12, 98.875, 113.875, 2.418125
0.232, 7, 192.8889, 98, 2.337778
0.232, 5, 13, 82, 2.354778
0.232, 2, 284.5, 68, 2.343
0.434, 11, 54.2, 196.6, 2.3134
0.434, 10, 149, 166, 2.298889
0.434, 1, 241.5, 145.125, 2.287
0.434, 12, 99.25, 113, 2.3155
0.434, 7, 193, 97, 2.281333
0.434, 5, 13.22222, 81, 2.276222
0.434, 2, 285, 67, 2.309
0.633, 11, 56, 197, 2.281
0.633, 10, 149, 166, 2.329
0.633, 1, 241.875, 144.125, 2.258
0.633, 12, 99, 113, 2.350111
0.633, 7, 192, 96, 2.386111
0.633, 5, 14, 81, 2.321778
0.633, 2, 283.7143, 66.85714, 2.320572
0.866, 11, 55.28571, 198.8571, 2.210571
0.866, 10, 148, 167, 2.282889
0.866, 1, 240, 144.8, 2.2936
0.866, 12, 98.16666, 114, 2.3015
0.866, 7, 191.4444, 97, 2.37
0.866, 5, 12, 83, 2.288
0.866, 2, 282.5, 67, 2.311666
0.932, 11, 55.71429, 199.1429, 2.179143
0.932, 10, 149, 167, 2.289778
0.932, 1, 241, 145.875, 2.3185
0.932, 12, 98, 114.875, 2.336125
0.932, 7, 191.2222, 98, 2.362556
0.932, 5, 13, 83, 2.314667
0.932, 2, 282.875, 68, 2.302125
0.967, 11, 55.75, 200.5, 2.30775
0.967, 10, 149, 168, 2.299778
0.967, 1, 241.8889, 146, 2.25
0.967, 12, 99.11111, 115, 2.363111
0.967, 7, 192.6667, 98.16666, 2.352333
0.967, 5, 13.11111, 84, 2.298333
0.967, 2, 284, 68, 2.313444
1.166, 11, 55.33333, 197.6667, 2.222333
1.166, 10, 148, 166, 2.258667
1.166, 1, 240, 144, 2.303889
1.166, 12, 97.44444, 114, 2.299
1.166, 7, 191, 97, 2.334111
1.166, 5, 12, 82.875, 2.292625
1.166, 2, 281.2222, 66, 2.316778
1.433, 12, 98, 114.875, 2.315625
1.433, 11, 55.125, 200, 2.313625
1.433, 10, 150, 167, 2.304778
1.433, 1, 241.7778, 146, 2.281333
1.433, 7, 191.3333, 98, 2.364444
1.433, 5, 13, 84, 2.331445
1.433, 2, 282.5, 68, 2.294833
1.665, 11, 56, 200, 2.296
1.665, 10, 149, 169, 2.304222
1.665, 1, 241, 148, 2.269444
1.665, 12, 98.875, 117, 2.26675
1.665, 7, 191.6667, 100, 2.354666
1.665, 5, 13, 85, 2.386222
1.665, 2, 281.875, 69.875, 2.2835
1.899, 10, 148, 168, 2.298
1.899, 1, 241, 146, 2.259555
1.899, 12, 97, 116, 2.344777
1.899, 7, 190, 99, 2.402889
1.899, 5, 12, 85, 2.377333
1.899, 2, 281.3333, 69, 2.314222
2.132, 11, 52.25, 196, 2.28975
2.132, 10, 145, 164, 2.316778
2.132, 1, 237.125, 141.125, 2.2775
2.132, 12, 94.5, 112, 2.28775
2.132, 7, 187, 94, 2.367889
2.132, 2, 277, 64, 2.304667
2.366, 11, 52, 196, 2.321
2.366, 10, 145, 164, 2.336778
2.366, 1, 237.5714, 141, 2.258857
2.366, 12, 94.77778, 112, 2.288889
2.366, 7, 187, 94, 2.417778
2.366, 2, 278.875, 63.125, 2.25525
2.598, 11, 51.2, 198, 2.2786
2.598, 10, 145, 164, 2.336889
2.598, 1, 236.625, 144.125, 2.269125
2.598, 12, 94.11111, 112, 2.308444
2.598, 7, 187.5, 95, 2.356333
2.598, 2, 278.1111, 65, 2.324778
2.832, 12, 95.4, 112.8, 2.2856
2.832, 11, 51.22222, 198.6667, 2.292444
2.832, 10, 146, 165, 2.326222
2.832, 1, 237, 144, 2.326111
2.832, 7, 189, 96, 2.319333
2.832, 2, 278, 66, 2.317667
3.032, 11, 50.25, 199, 2.367
3.032, 10, 145, 165, 2.355444
3.032, 1, 238, 143, 2.246333
3.032, 12, 94.125, 112.875, 2.30775
3.032, 7, 188, 96, 2.314222
3.032, 2, 276.875, 64.875, 2.30875
3.229, 11, 53, 196, 2.230444
3.229, 10, 145, 164, 2.332333
3.229, 1, 237.7778, 142, 2.267
3.229, 12, 94.22222, 112, 2.302444
3.229, 7, 188.3333, 94, 2.354556
3.229, 2, 278, 64, 2.330555
3.466, 7, 188.875, 94.875, 2.3205
3.466, 11, 54.5, 198, 2.196833
3.466, 10, 147, 165, 2.317
3.466, 1, 237.875, 141.875, 2.29625
3.466, 12, 95.44444, 114, 2.297111
3.466, 5, 8.875, 82.875, 2.27675
3.466, 2, 278, 64, 2.311556
3.766, 11, 52.25, 195.25, 2.272
3.766, 10, 145, 162, 2.332333
3.766, 1, 236.375, 138.875, 2.262625
3.766, 12, 93, 109.875, 2.2945
3.766, 7, 186.125, 92, 2.36325
3.766, 2, 276, 61, 2.31
3.932, 11, 52, 201, 2.335
3.932, 10, 146, 166, 2.331444
3.932, 1, 236.1111, 142, 2.291222
3.932, 12, 93.625, 115.125, 2.285125
3.932, 7, 186.125, 94.875, 2.356
3.932, 2, 276, 63, 2.330778
4.132, 11, 58.8, 210.4, 2.2124
4.132, 10, 149, 170, 2.297111
4.132, 1, 239, 141, 2.297
4.132, 12, 94, 123, 2.345667
4.132, 7, 186, 99, 2.329667
4.132, 2, 273, 61, 2.371444
4.332, 11, 68, 214.5, 2.308
4.332, 10, 154, 170, 2.302222
4.332, 1, 242, 137, 2.339667
4.332, 12, 98.11111, 124, 2.353778
4.332, 5, 11, 103, 2.417889
4.332, 7, 187.7143, 94.71429, 2.346429
4.332, 2, 274, 54, 2.295444
4.532, 11, 69, 217, 2.296
4.532, 10, 155, 171, 2.309111
4.532, 1, 242.1111, 138, 2.294667
4.532, 12, 98, 128, 2.393667
4.532, 5, 12.5, 108, 2.337
4.532, 7, 187, 98, 2.4
4.532, 2, 273, 56, 2.308222
4.766, 11, 60, 206.6667, 2.369333
4.766, 10, 148, 167, 2.330667
4.766, 1, 236, 138, 2.329
4.766, 12, 94, 121, 2.437556
4.766, 5, 9, 98.125, 2.354125
4.766, 7, 183, 96, 2.390666
4.766, 2, 270, 58, 2.298111
4.965, 11, 54, 202, 2.392
4.965, 10, 143, 164, 2.411333
4.965, 1, 231, 137, 2.358111
4.965, 12, 90, 117, 2.396333
4.965, 7, 180, 94, 2.403556
4.965, 2, 268, 58, 2.356333
5.165, 11, 50, 193, 2.319
5.165, 10, 137, 160, 2.351
5.165, 1, 224, 135, 2.363667
